DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2014,1224,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2015,1240,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2016,1268,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2017,1284,b
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2018,1303,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2019,1320,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2020,1308,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2021,1329,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,DK,2022,1378,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2009,296,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2010,285,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2011,290,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2012,298,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EE,2013,298,
