DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2016,99.20,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2017,98.93,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2018,98.64,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2019,98.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2020,98.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FI,2021,98.88,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2011,92.14,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2012,96.54,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2013,95.91,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2014,92.45,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2015,92.09,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2016,92.33,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2017,91.63,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2018,91.81,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2019,91.87,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2020,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,FR,2021,94.41,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2011,91.83,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2012,90.10,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2013,98.57,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2014,99.53,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2015,98.86,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2016,99.40,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2017,99.40,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2018,99.27,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2019,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2020,100.00,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HR,2021,99.97,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2011,93.42,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2012,99.17,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2013,99.34,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2014,99.23,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2015,98.98,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2016,98.77,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2017,99.43,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2018,99.47,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,HU,2019,99.64,
